Ref,Val,Package,PosX,PosY,Rot,Side
"U1","ESP32-C3_SUPERMINI_TH","MODULE_ESP32-C3_SUPERMINI_TH",93.100000,-44.130000,90.000000,bottom
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",91.250000,-63.500000,-90.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.750000,-70.537500,-90.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.750000,-89.500000,-90.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.250000,-109.000000,-90.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.250000,-126.250000,180.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",33.250000,-120.250000,90.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",33.250000,-102.962500,-90.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",33.000000,-84.962500,-90.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",33.250000,-65.712500,-90.000000,top
"D1","~","D_DO-35_SOD27_P7.62mm_Horizontal",65.250000,-44.560000,90.000000,top
"D2","~","D_DO-35_SOD27_P7.62mm_Horizontal",54.300000,-44.560000,90.000000,top
"D3","~","D_DO-35_SOD27_P7.62mm_Horizontal",57.750000,-44.560000,90.000000,top
"D4","~","D_DO-35_SOD27_P7.62mm_Horizontal",61.300000,-44.560000,90.000000,top
"D5","~","D_DO-35_SOD27_P7.62mm_Horizontal",59.500000,-54.750000,90.000000,top
"D6","~","D_DO-35_SOD27_P7.62mm_Horizontal",62.550000,-54.810000,90.000000,top
"D7","~","D_DO-35_SOD27_P7.62mm_Horizontal",72.500000,-44.750000,90.000000,top
"D8","~","D_DO-35_SOD27_P7.62mm_Horizontal",69.000000,-44.620000,90.000000,top
"D9","~","D_DO-35_SOD27_P7.62mm_Horizontal",67.100000,-54.870000,90.000000,top
"D10","~","D_DO-35_SOD27_P7.62mm_Horizontal",70.650000,-54.870000,90.000000,top
"D11","~","D_DO-35_SOD27_P7.62mm_Horizontal",74.200000,-54.870000,90.000000,top
"D12","~","D_DO-35_SOD27_P7.62mm_Horizontal",77.750000,-54.870000,90.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",92.600000,-57.300000,90.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",98.850000,-67.050000,90.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",98.850000,-85.950000,90.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",99.400000,-105.450000,90.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",99.350000,-123.550000,90.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",29.100000,-124.200000,-90.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",28.600000,-104.550000,-90.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",28.750000,-86.500000,-90.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",28.600000,-67.200000,-90.000000,top
"SW1","~","SW_Cherry_MX_1.00u_PCB",47.520000,-62.250000,0.000000,top
"SW2","~","SW_Cherry_MX_1.00u_PCB",66.620000,-62.210000,0.000000,top
"SW3","~","SW_Cherry_MX_1.00u_PCB",85.620000,-62.210000,0.000000,top
"SW4","~","SW_Cherry_MX_1.00u_PCB",47.520000,-81.250000,0.000000,top
"SW5","~","SW_Cherry_MX_1.00u_PCB",66.620000,-81.250000,0.000000,top
"SW6","~","SW_Cherry_MX_1.00u_PCB",85.640000,-81.170000,0.000000,top
"SW7","~","SW_Cherry_MX_1.00u_PCB",47.480000,-100.210000,0.000000,top
"SW8","~","SW_Cherry_MX_1.00u_PCB",66.480000,-100.170000,0.000000,top
"SW9","~","SW_Cherry_MX_1.00u_PCB",85.620000,-100.170000,0.000000,top
"SW10","~","SW_Cherry_MX_1.00u_PCB",47.520000,-119.210000,0.000000,top
"SW11","~","SW_Cherry_MX_1.00u_PCB",66.620000,-119.210000,0.000000,top
"SW12","~","SW_Cherry_MX_1.00u_PCB",85.620000,-119.210000,0.000000,top
"TP1","~","TP4056 Basic",99.250000,-79.250000,-90.000000,top
"U2","ER_OLEDM0.91_1x-I2C","I2C Display",96.250000,-46.750000,0.000000,top
"U3","KY-040","KY-040-PORT",26.000000,-46.730000,90.000000,top
